Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Richmond, VA",2014,29,74,,44,,26,,3,,1,,,-,2,,"Richmond, VA
(37.540703789000474, -77.43364879599966)",
"Savannah, GA",2014,29,62,,47,,13,,2,,,-,,-,2,,"Savannah, GA
(32.08091366600047, -81.09118590699967)",
"St. Petersburg, FL",2014,29,53,,30,,19,,2,,2,,,-,2,,"St. Petersburg, FL
(27.771193346000473, -82.63875661699967)",
"Tampa, FL",2014,29,85,,50,,23,,6,,3,,3,,5,,"Tampa, FL
(27.94653446400048, -82.45926644299965)",
"Washington, D.C.",2014,29,98,,59,,25,,6,,3,,5,,3,,"Washington, D.C.
(38.89037038100048, -77.03195864199967)",
"Wilmington, DE",2014,29,6,,6,,,-,,-,,-,,-,2,,"Wilmington, DE
(39.740234398000496, -75.55083980499967)",
E.S. Central,2014,29,857,,540,,232,,61,,12,,12,,33,,,
"Birmingham, AL",2014,29,158,,103,,36,,13,,3,,3,,9,,"Birmingham, AL
(33.52068040300048, -86.81175909799964)",
"Chattanooga, TN",2014,29,78,,55,,18,,4,,,-,1,,1,,"Chattanooga, TN
(35.04644289300046, -85.30945730199966)",
"Knoxville, TN",2014,29,106,,70,,31,,5,,,-,,-,3,,"Knoxville, TN
(35.96049444300047, -83.92090839299965)",
"Lexington, KY",2014,29,66,,40,,16,,7,,,-,3,,,-,"Lexington, KY
(38.04859009900048, -84.50031565799964)",
"Memphis, TN",2014,29,170,,104,,43,,13,,5,,5,,10,,"Memphis, TN
(35.14976284800048, -90.04924570399965)",
"Mobile, AL",2014,29,69,,43,,20,,6,,,-,,-,3,,"Mobile, AL
(30.68639351000047, -88.05323763099966)",
"Montgomery, AL",2014,29,39,,22,,14,,2,,1,,,-,3,,"Montgomery, AL
(32.38012350200046, -86.30062589499965)",
"Nashville, TN",2014,29,171,,103,,54,,11,,3,,,-,4,,"Nashville, TN
(36.16784000400048, -86.77815577199965)",
W.S. Central,2014,29,1598,,993,,363,,168,,44,,30,,85,,,
"Austin, TX",2014,29,81,,57,,13,,6,,2,,3,,4,,"Austin, TX
(30.267593529000465, -97.74298706799965)",
"Baton Rouge, LA",2014,29,101,,63,,24,,10,,2,,2,,5,,"Baton Rouge, LA
(30.44334106600047, -91.18698893099969)",
"Corpus Christi, TX",2014,29,66,,48,,14,,2,,1,,1,,8,,"Corpus Christi, TX
(27.796413705000475, -97.40355953599965)",
"Dallas, TX",2014,29,231,,143,,55,,18,,7,,8,,11,,"Dallas, TX
(32.778151412000454, -96.79539918599966)",
"El Paso, TX",2014,29,142,,53,,18,,65,,4,,2,,2,,"El Paso, TX
(31.75916316000047, -106.4874888869997)",
"Fort Worth, TX",2014,29,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.75095254800044, -97.33085951799967)",
"Houston, TX",2014,29,425,,261,,113,,33,,12,,6,,22,,"Houston, TX
(29.760453065000434, -95.36977674999969)",
"Little Rock, AR",2014,29,48,,30,,10,,4,,4,,,-,1,,"Little Rock, AR
(34.74865329300047, -92.27448794899965)",
"New Orleans, LA",2014,29,36,,25,,9,,1,,,-,1,,1,,"New Orleans, LA
(29.95370345100048, -90.07774868499968)",
"San Antonio, TX",2014,29,271,,182,,64,,19,,3,,3,,12,,"San Antonio, TX
(29.42458058800048, -98.49460914499969)",
"Shreveport, LA",2014,29,52,,38,,11,,1,,2,,,-,6,,"Shreveport, LA
(32.514612729000476, -93.74726848099965)",
"Tulsa, OK",2014,29,145,,93,,32,,9,,7,,4,,13,,"Tulsa, OK
(36.149743157000444, -95.99332745899966)",
Mountain,2014,29,1095,,711,,266,,79,,13,,25,,48,,,
"Albuquerque, NM",2014,29,100,,64,,28,,7,,,-,1,,9,,"Albuquerque, NM
(35.08423100300047, -106.64904746099967)",
"Boise, ID",2014,29,45,,38,,4,,1,,1,,1,,2,,"Boise, ID
(43.60698392100045, -116.1934057949997)",
"Colorado Springs, CO",2014,29,80,,55,,15,,8,,2,,,-,2,,"Colorado Springs, CO
(38.83343141300048, -104.82180632899968)",
"Denver, CO",2014,29,93,,59,,24,,6,,1,,3,,1,,"Denver, CO
(39.74001109000045, -104.9922972059997)",
"Las Vegas, NV",2014,29,239,,152,,57,,23,,3,,4,,13,,"Las Vegas, NV
(36.17191313400048, -115.13996564999968)",
"Ogden, UT",2014,29,37,,24,,9,,1,,2,,1,,1,,"Ogden, UT
(41.222362586000486, -111.97047620299969)",
"Phoenix, AZ",2014,29,176,,99,,52,,13,,3,,8,,10,,"Phoenix, AZ
(33.44825282000045, -112.07579699399969)",
"Pueblo, CO",2014,29,30,,19,,9,,2,,,-,,-,1,,"Pueblo, CO
(38.263863080000476, -104.61236614299969)",
"Salt Lake City, UT",2014,29,140,,88,,35,,10,,,-,7,,5,,"Salt Lake City, UT
(40.66726905100046, -111.92357267799969)",
"Tucson, AZ",2014,29,155,,113,,33,,8,,1,,,-,4,,"Tucson, AZ
(32.22155278400044, -110.96975897999971)",
Pacific,2014,29,1657,,1121,,362,,86,,40,,21,,133,,,
"Berkeley, CA",2014,29,7,,6,,1,,,-,,-,,-,,-,"Berkeley, CA
(37.86988150300044, -122.2705386769997)",
"Fresno, CA",2014,29,133,,91,,30,,8,,3,,1,,9,,"Fresno, CA
(36.74068202600046, -119.78572815899969)",
"Glendale, CA",2014,29,17,,12,,4,,1,,,-,,-,3,,"Glendale, CA
(34.146330203000446, -118.24863950799971)",
"Honolulu, HI",2014,29,82,,53,,17,,7,,4,,1,,15,,"Honolulu, HI
(21.304853205000427, -157.85774691599974)",
"Long Beach, CA",2014,29,65,,38,,21,,1,,2,,3,,11,,"Long Beach, CA
(33.76672070300049, -118.19239725799969)",
"Los Angeles, CA",2014,29,244,,160,,63,,15,,6,,,-,26,,"Los Angeles, CA
(34.053492307000454, -118.24531669099969)",
"Pasadena, CA",2014,29,29,,20,,8,,1,,,-,,-,2,,"Pasadena, CA
(34.14745120700047, -118.14426554199969)",
"Portland, OR",2014,29,108,,72,,25,,7,,3,,1,,6,,"Portland, OR
(45.51178871100046, -122.6756275729997)",
"Sacramento, CA",2014,29,202,,147,,42,,7,,3,,3,,9,,"Sacramento, CA
(38.5793341750005, -121.49089596399972)",
"San Diego, CA",2014,29,162,,102,,44,,8,,5,,3,,6,,"San Diego, CA
(32.71569228000044, -117.16171662299968)",
"San Francisco, CA",2014,29,96,,64,,14,,14,,3,,1,,11,,"San Francisco, CA
(37.777123997000444, -122.4196366869997)",
"San Jose, CA",2014,29,210,,157,,40,,7,,3,,3,,17,,"San Jose, CA
(37.33858362500047, -121.8855697949997)",
"Santa Cruz, CA",2014,29,23,,12,,10,,1,,,-,,-,4,,"Santa Cruz, CA
(36.974020590000464, -122.03094750099973)",
"Seattle, WA",2014,29,114,,70,,10,,1,,3,,3,,2,,"Seattle, WA
(47.60356894300048, -122.32944721899969)",
"Spokane, WA",2014,29,61,,39,,12,,4,,4,,2,,4,,"Spokane, WA
(47.65725655300048, -117.41227666799972)",
"Tacoma, WA",2014,29,104,,78,,21,,4,,1,,,-,8,,"Tacoma, WA
(47.255128716000456, -122.44163694999969)",
Total¶,2014,29,11162,,7276,,2670,,750,,248,,188,,615,,,
New England,2014,30,508,,355,,108,,32,,6,,7,,39,,,
"Boston, MA",2014,30,121,,73,,31,,10,,3,,4,,11,,"Boston, MA
(42.35866324500046, -71.05673887699965)",
"Bridgeport, CT",2014,30,40,,31,,6,,3,,,-,,-,5,,"Bridgeport, CT
(41.1818813860005, -73.19126911399962)",
"Cambridge, MA",2014,30,10,,9,,1,,,-,,-,,-,,-,"Cambridge, MA
(42.366791640000486, -71.10600946299962)",
"Fall River, MA",2014,30,30,,24,,6,,,-,,-,,-,3,,"Fall River, MA
(41.69735122300045, -71.14364572399967)",
"Hartford, CT",2014,30,52,,33,,13,,5,,1,,,-,4,,"Hartford, CT
(41.76349046400048, -72.67401728199962)",
"Lowell, MA",2014,30,22,,19,,2,,1,,,-,,-,2,,"Lowell, MA
(42.64588146300048, -71.31283694999962)",
"Lynn, MA",2014,30,4,,3,,1,,,-,,-,,-,,-,"Lynn, MA
(42.46370266800045, -70.95021669199963)",
"New Bedford, MA",2014,30,22,,16,,5,,1,,,-,,-,1,,"New Bedford, MA
(41.637670036000486, -70.93086932199964)",
"New Haven, CT",2014,30,33,,20,,7,,5,,1,,,-,2,,"New Haven, CT
(41.307621422000466, -72.92461752399964)",
"Providence, RI",2014,30,56,,40,,11,,2,,1,,2,,2,,"Providence, RI
(41.823872836000476, -71.41198998599964)",
"Somerville, MA",2014,30,3,,2,,1,,,-,,-,,-,,-,"Somerville, MA
(42.386683880000476, -71.09825622299962)",
"Springfield, MA",2014,30,31,,22,,9,,,-,,-,,-,2,,"Springfield, MA
(42.10125212200046, -72.58928991799962)",
"Waterbury, CT",2014,30,28,,23,,3,,1,,,-,1,,1,,"Waterbury, CT
(41.55407260800047, -73.04616830899965)",
"Worcester, MA",2014,30,56,,40,,12,,4,,,-,,-,6,,"Worcester, MA
(42.2634136260005, -71.80218873199965)",
Mid. Atlantic,2014,30,1755,,1278,,341,,83,,25,,28,,78,,,
"Albany, NY",2014,30,38,,26,,9,,2,,1,,,-,2,,"Albany, NY
(42.65155347600046, -73.75520562899965)",
"Allentown, PA",2014,30,28,,22,,5,,,-,,-,1,,1,,"Allentown, PA
(40.602603640000495, -75.47025702899964)",
"Buffalo, NY",2014,30,82,,52,,22,,5,,1,,2,,4,,"Buffalo, NY
(42.88544137700046, -78.87845781999965)",
"Camden, NJ",2014,30,30,,15,,10,,2,,1,,2,,,-,"Camden, NJ
(39.94525309400046, -75.11912817799964)",
"Elizabeth, NJ",2014,30,11,,7,,3,,1,,,-,,-,1,,"Elizabeth, NJ
(40.6638122490005, -74.21143642799967)",
"Erie, PA",2014,30,43,,28,,8,,3,,1,,3,,2,,"Erie, PA
(42.12944247200045, -80.08523881899964)",
"Jersey City, NJ",2014,30,14,,8,,2,,2,,2,,,-,1,,"Jersey City, NJ
(40.71748199500047, -74.04384854999967)",
"New York City, NY",2014,30,1128,,811,,232,,54,,15,,16,,41,,"New York City, NY
(40.71455220000047, -74.00711891899965)",
"Newark, NJ",2014,30,18,,13,,3,,1,,1,,,-,1,,"Newark, NJ
(40.73197019100047, -74.17420658799966)",
"Paterson, NJ",2014,30,14,,8,,3,,3,,,-,,-,,-,"Paterson, NJ
(40.91661430200048, -74.17163854999967)",
"Philadelphia, PA",2014,30,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228281700048, -75.16244984999963)",
"Pittsburgh, PA§",2014,30,33,,27,,4,,2,,,-,,-,3,,"Pittsburgh, PA
(40.438343044000476, -79.99746553899968)",
"Reading, PA",2014,30,33,,31,,2,,,-,,-,,-,4,,"Reading, PA
(40.3366219720005, -75.92783660599963)",
"Rochester, NY",2014,30,124,,105,,15,,1,,2,,1,,9,,"Rochester, NY
(43.155804340000486, -77.61631886899966)",
"Schenectady, NY",2014,30,15,,12,,3,,,-,,-,,-,1,,"Schenectady, NY
(42.8122500820005, -73.94101987199963)",
"Scranton, PA",2014,30,39,,33,,4,,2,,,-,,-,2,,"Scranton, PA
(41.41015086800047, -75.66077859599966)",
"Syracuse, NY",2014,30,63,,49,,8,,2,,1,,3,,5,,"Syracuse, NY
(43.0499922730005, -76.14738815999965)",
"Trenton, NJ",2014,30,12,,8,,3,,1,,,-,,-,,-,"Trenton, NJ
(40.21788039500046, -74.75939751899966)",
"Utica, NY",2014,30,15,,11,,2,,2,,,-,,-,1,,"Utica, NY
(43.09589091300046, -75.24257707799967)",
"Yonkers, NY",2014,30,15,,12,,3,,,-,,-,,-,,-,"Yonkers, NY
(40.93299168200048, -73.89873881399967)",
E.N. Central,2014,30,1977,,1283,,484,,128,,40,,42,,95,,,
"Akron, OH",2014,30,54,,32,,13,,7,,1,,1,,3,,"Akron, OH
(41.084193248000474, -81.51405901999965)",
"Canton, OH",2014,30,22,,17,,4,,1,,,-,,-,4,,"Canton, OH
(40.79781020000047, -81.37156644799967)",
"Chicago, IL",2014,30,251,,154,,67,,21,,6,,3,,3,,"Chicago, IL
(41.88425074000048, -87.63244574499964)",
"Cincinnati, OH",2014,30,108,,62,,32,,4,,3,,7,,2,,"Cincinnati, OH
(39.1071305910005, -84.50412975199964)",
"Cleveland, OH",2014,30,280,,180,,71,,16,,7,,6,,11,,"Cleveland, OH
(41.50475289400049, -81.69071765199965)",
"Columbus, OH",2014,30,215,,144,,50,,13,,3,,5,,15,,"Columbus, OH
(39.961992230000476, -83.00274798399965)",
"Dayton, OH",2014,30,132,,103,,24,,5,,,-,,-,8,,"Dayton, OH
(39.759112821000485, -84.19443785699968)",
"Detroit, MI",2014,30,113,,55,,39,,13,,3,,3,,8,,"Detroit, MI
(42.33168322200049, -83.04799903299966)",
"Evansville, IN",2014,30,43,,29,,12,,2,,,-,,-,4,,"Evansville, IN
(37.977082544000496, -87.56404663099966)",
"Fort Wayne, IN",2014,30,68,,53,,8,,4,,3,,,-,4,,"Fort Wayne, IN
(41.080263035000485, -85.13830990099967)",
"Gary, IN",2014,30,9,,4,,2,,,-,3,,,-,,-,"Gary, IN
(41.6037138850005, -87.33716612199964)",
"Grand Rapids, MI",2014,30,56,,47,,4,,2,,,-,3,,5,,"Grand Rapids, MI
(42.96641270800046, -85.67117986599965)",
"Indianapolis, IN",2014,30,203,,113,,59,,19,,4,,8,,13,,"Indianapolis, IN
(39.76691072200049, -86.14995579899966)",
"Lansing, MI",2014,30,48,,34,,11,,3,,,-,,-,1,,"Lansing, MI
(42.73194420800047, -84.55224806999968)",
"Milwaukee, WI",2014,30,69,,41,,21,,5,,1,,1,,2,,"Milwaukee, WI
(43.04181028200048, -87.90683717599967)",
"Peoria, IL",2014,30,49,,40,,6,,,-,2,,1,,2,,"Peoria, IL
(40.69214105000049, -89.58775824399964)",
"Rockford, IL",2014,30,64,,41,,14,,6,,2,,1,,2,,"Rockford, IL
(42.2669016910005, -89.07834897499964)",
"South Bend, IN",2014,30,36,,24,,7,,1,,1,,3,,2,,"South Bend, IN
(41.67905339900045, -86.25403946499966)",
"Toledo, OH",2014,30,100,,66,,28,,5,,1,,,-,5,,"Toledo, OH
(41.65381070900048, -83.53625660699964)",
"Youngstown, OH",2014,30,57,,44,,12,,1,,,-,,-,1,,"Youngstown, OH
(41.09810084600048, -80.65078761499967)",
W.N. Central,2014,30,761,,448,,212,,57,,17,,25,,46,,,
"Des Moines, IA",2014,30,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
(41.589761626000495, -93.61564652299967)",
"Duluth, MN",2014,30,24,,19,,4,,1,,,-,,-,2,,"Duluth, MN
(46.787955844000464, -92.09984801699966)",
"Kansas City, KS",2014,30,21,,16,,3,,2,,,-,,-,2,,"Kansas City, KS
(39.113521653000475, -94.6268190079997)",
"Kansas City, MO",2014,30,113,,63,,41,,5,,1,,1,,6,,"Kansas City, MO
(39.1029502720005, -94.5830775179997)",
"Lincoln, NC",2014,30,47,,37,,7,,1,,2,,,-,2,,"Lincoln, NC
(35.486046210000495, -81.22400479399965)",
"Minneapolis, MN",2014,30,60,,34,,14,,5,,2,,5,,6,,"Minneapolis, MN
(44.9790304010005, -93.26492855899966)",
"Omaha, NE",2014,30,86,,56,,17,,8,,2,,3,,7,,"Omaha, NE
(41.260691100000486, -95.94058667399969)",
"St. Louis, MO",2014,30,231,,104,,79,,27,,9,,12,,7,,"St. Louis, MO
(38.6277517260005, -90.19955850799965)",
"St. Paul, MN",2014,30,65,,45,,18,,1,,,-,1,,2,,"St. Paul, MN
(44.94382372600046, -93.09331667699968)",
"Wichita, KS",2014,30,114,,74,,29,,7,,1,,3,,12,,"Wichita, KS
(37.686983657000496, -97.33557577399966)",
S. Atlantic,2014,30,1124,,701,,289,,74,,25,,35,,74,,,
"Atlanta, GA",2014,30,80,,47,,23,,7,,2,,1,,5,,"Atlanta, GA
(33.748311225000464, -84.39110931499965)",
"Baltimore, MD",2014,30,170,,88,,59,,13,,5,,5,,7,,"Baltimore, MD
(39.29058224000045, -76.60925970899967)",
"Charlotte, NC",2014,30,154,,104,,32,,13,,,-,5,,7,,"Charlotte, NC
(35.22286035400049, -80.83795956899968)",
"Jacksonville, FL",2014,30,166,,111,,39,,8,,4,,4,,10,,"Jacksonville, FL
(30.33147289700048, -81.65621662999968)",
"Miami, FL",2014,30,69,,52,,12,,3,,2,,,-,6,,"Miami, FL
(25.774810115000435, -80.19772778299966)",
"Norfolk, VA",2014,30,61,,34,,13,,7,,3,,4,,6,,"Norfolk, VA
(36.84682012200045, -76.28505728799968)",
"Richmond, VA",2014,30,53,,30,,16,,5,,1,,1,,1,,"Richmond, VA
(37.540703789000474, -77.43364879599966)",
"Savannah, GA",2014,30,59,,37,,15,,4,,,-,3,,4,,"Savannah, GA
(32.08091366600047, -81.09118590699967)",
"St. Petersburg, FL",2014,30,59,,39,,14,,4,,1,,1,,8,,"St. Petersburg, FL
(27.771193346000473, -82.63875661699967)",
"Tampa, FL",2014,30,114,,80,,23,,8,,,-,3,,10,,"Tampa, FL
(27.94653446400048, -82.45926644299965)",
"Washington, D.C.",2014,30,132,,75,,40,,2,,7,,8,,10,,"Washington, D.C.
(38.89037038100048, -77.03195864199967)",
"Wilmington, DE",2014,30,7,,4,,3,,,-,,-,,-,,-,"Wilmington, DE
(39.740234398000496, -75.55083980499967)",
E.S. Central,2014,30,878,,548,,239,,56,,19,,16,,56,,,
"Birmingham, AL",2014,30,162,,112,,38,,6,,4,,2,,12,,"Birmingham, AL
(33.52068040300048, -86.81175909799964)",
"Chattanooga, TN",2014,30,119,,76,,32,,10,,1,,,-,7,,"Chattanooga, TN
(35.04644289300046, -85.30945730199966)",
"Knoxville, TN",2014,30,150,,92,,41,,12,,4,,1,,7,,"Knoxville, TN
(35.96049444300047, -83.92090839299965)",
"Lexington, KY",2014,30,66,,37,,23,,6,,,-,,-,1,,"Lexington, KY
(38.04859009900048, -84.50031565799964)",
"Memphis, TN",2014,30,180,,105,,51,,11,,5,,8,,19,,"Memphis, TN
(35.14976284800048, -90.04924570399965)",
"Mobile, AL",2014,30,87,,51,,27,,5,,3,,1,,5,,"Mobile, AL
(30.68639351000047, -88.05323763099966)",
"Montgomery, AL",2014,30,63,,44,,13,,2,,1,,3,,2,,"Montgomery, AL
(32.38012350200046, -86.30062589499965)",
"Nashville, TN",2014,30,51,,31,,14,,4,,1,,1,,3,,"Nashville, TN
(36.16784000400048, -86.77815577199965)",
W.S. Central,2014,30,1612,,1073,,366,,109,,33,,31,,76,,,
"Austin, TX",2014,30,90,,56,,23,,7,,2,,2,,4,,"Austin, TX
(30.267593529000465, -97.74298706799965)",
"Baton Rouge, LA",2014,30,93,,69,,18,,5,,1,,,-,3,,"Baton Rouge, LA
(30.44334106600047, -91.18698893099969)",
"Corpus Christi, TX",2014,30,54,,39,,14,,,-,1,,,-,7,,"Corpus Christi, TX
(27.796413705000475, -97.40355953599965)",
"Dallas, TX",2014,30,193,,102,,55,,21,,7,,8,,8,,"Dallas, TX
(32.778151412000454, -96.79539918599966)",
"El Paso, TX",2014,30,112,,79,,19,,8,,4,,2,,6,,"El Paso, TX
(31.75916316000047, -106.4874888869997)",
"Fort Worth, TX",2014,30,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.75095254800044, -97.33085951799967)",
"Houston, TX",2014,30,441,,309,,95,,23,,7,,7,,13,,"Houston, TX
(29.760453065000434, -95.36977674999969)",
"Little Rock, AR",2014,30,60,,43,,8,,5,,1,,3,,2,,"Little Rock, AR
(34.74865329300047, -92.27448794899965)",
"New Orleans, LA",2014,30,47,,29,,11,,5,,1,,1,,2,,"New Orleans, LA
(29.95370345100048, -90.07774868499968)",
"San Antonio, TX",2014,30,286,,198,,60,,19,,4,,5,,18,,"San Antonio, TX
(29.42458058800048, -98.49460914499969)",
"Shreveport, LA",2014,30,78,,47,,21,,7,,2,,1,,4,,"Shreveport, LA
(32.514612729000476, -93.74726848099965)",
"Tulsa, OK",2014,30,158,,102,,42,,9,,3,,2,,9,,"Tulsa, OK
(36.149743157000444, -95.99332745899966)",
Mountain,2014,30,1226,,855,,252,,79,,21,,16,,70,,,
"Albuquerque, NM",2014,30,116,,77,,31,,6,,1,,1,,7,,"Albuquerque, NM
(35.08423100300047, -106.64904746099967)",
"Boise, ID",2014,30,68,,55,,8,,3,,1,,1,,6,,"Boise, ID
(43.60698392100045, -116.1934057949997)",
"Colorado Springs, CO",2014,30,89,,58,,20,,8,,3,,,-,5,,"Colorado Springs, CO
(38.83343141300048, -104.82180632899968)",
"Denver, CO",2014,30,77,,45,,26,,4,,1,,1,,4,,"Denver, CO
(39.74001109000045, -104.9922972059997)",
"Las Vegas, NV",2014,30,359,,255,,70,,26,,4,,4,,26,,"Las Vegas, NV
(36.17191313400048, -115.13996564999968)",
"Ogden, UT",2014,30,31,,22,,8,,,-,1,,,-,,-,"Ogden, UT
(41.222362586000486, -111.97047620299969)",
"Phoenix, AZ",2014,30,169,,107,,31,,21,,6,,4,,7,,"Phoenix, AZ
(33.44825282000045, -112.07579699399969)",
"Pueblo, CO",2014,30,29,,24,,4,,,-,1,,,-,1,,"Pueblo, CO
(38.263863080000476, -104.61236614299969)",
"Salt Lake City, UT",2014,30,103,,73,,17,,7,,2,,3,,9,,"Salt Lake City, UT
(40.66726905100046, -111.92357267799969)",
"Tucson, AZ",2014,30,185,,139,,37,,4,,1,,2,,5,,"Tucson, AZ
(32.22155278400044, -110.96975897999971)",
Pacific,2014,30,1666,,1141,,346,,108,,34,,25,,116,,,
"Berkeley, CA",2014,30,8,,7,,1,,,-,,-,,-,,-,"Berkeley, CA
(37.86988150300044, -122.2705386769997)",
"Fresno, CA",2014,30,142,,89,,31,,17,,3,,2,,9,,"Fresno, CA
(36.74068202600046, -119.78572815899969)",
"Glendale, CA",2014,30,20,,15,,3,,2,,,-,,-,1,,"Glendale, CA
(34.146330203000446, -118.24863950799971)",
"Honolulu, HI",2014,30,64,,46,,10,,2,,4,,2,,6,,"Honolulu, HI
(21.304853205000427, -157.85774691599974)",
"Long Beach, CA",2014,30,51,,35,,12,,3,,1,,,-,7,,"Long Beach, CA
(33.76672070300049, -118.19239725799969)",
"Los Angeles, CA",2014,30,258,,175,,55,,18,,6,,4,,29,,"Los Angeles, CA
(34.053492307000454, -118.24531669099969)",
"Pasadena, CA",2014,30,16,,13,,1,,1,,1,,,-,3,,"Pasadena, CA
(34.14745120700047, -118.14426554199969)",
"Portland, OR",2014,30,144,,96,,40,,4,,2,,2,,6,,"Portland, OR
(45.51178871100046, -122.6756275729997)",
"Sacramento, CA",2014,30,197,,138,,46,,10,,3,,,-,12,,"Sacramento, CA
(38.5793341750005, -121.49089596399972)",
"San Diego, CA",2014,30,163,,102,,31,,12,,2,,4,,8,,"San Diego, CA
(32.71569228000044, -117.16171662299968)",
"San Francisco, CA",2014,30,86,,60,,18,,4,,1,,3,,3,,"San Francisco, CA
(37.777123997000444, -122.4196366869997)",
"San Jose, CA",2014,30,192,,145,,25,,15,,5,,2,,14,,"San Jose, CA
(37.33858362500047, -121.8855697949997)",
"Santa Cruz, CA",2014,30,27,,20,,5,,2,,,-,,-,3,,"Santa Cruz, CA
(36.974020590000464, -122.03094750099973)",
"Seattle, WA",2014,30,103,,60,,27,,9,,3,,4,,5,,"Seattle, WA
(47.60356894300048, -122.32944721899969)",
"Spokane, WA",2014,30,66,,46,,15,,4,,1,,,-,2,,"Spokane, WA
(47.65725655300048, -117.41227666799972)",
"Tacoma, WA",2014,30,129,,94,,26,,5,,2,,2,,8,,"Tacoma, WA
(47.255128716000456, -122.44163694999969)",
Total¶,2014,30,11507,,7682,,2637,,726,,220,,225,,650,,,
New England,2014,31,510,,333,,128,,27,,10,,12,,37,,,
"Boston, MA",2014,31,143,,86,,35,,10,,4,,8,,12,,"Boston, MA
",
"Bridgeport, CT",2014,31,22,,14,,7,,1,,,-,,-,,-,"Bridgeport, CT
",
"Cambridge, MA",2014,31,8,,8,,,-,,-,,-,,-,1,,"Cambridge, MA
",
"Fall River, MA",2014,31,22,,17,,5,,,-,,-,,-,,-,"Fall River, MA
",
"Hartford, CT",2014,31,41,,25,,11,,4,,,-,1,,2,,"Hartford, CT
",
"Lowell, MA",2014,31,19,,16,,3,,,-,,-,,-,2,,"Lowell, MA
",
"Lynn, MA",2014,31,4,,4,,,-,,-,,-,,-,,-,"Lynn, MA
",
"New Bedford, MA",2014,31,24,,22,,2,,,-,,-,,-,,-,"New Bedford, MA
",
"New Haven, CT",2014,31,34,,18,,11,,2,,2,,1,,5,,"New Haven, CT
",
"Providence, RI",2014,31,56,,34,,17,,2,,2,,1,,1,,"Providence, RI
",
"Somerville, MA",2014,31,4,,2,,2,,,-,,-,,-,,-,"Somerville, MA
",
"Springfield, MA",2014,31,43,,27,,10,,4,,2,,,-,1,,"Springfield, MA
",
"Waterbury, CT",2014,31,28,,20,,8,,,-,,-,,-,3,,"Waterbury, CT
",
"Worcester, MA",2014,31,62,,40,,17,,4,,,-,1,,10,,"Worcester, MA
",
Mid. Atlantic,2014,31,1645,,1158,,366,,86,,25,,10,,68,,,
"Albany, NY",2014,31,32,,22,,8,,1,,,-,1,,1,,"Albany, NY
",
"Allentown, PA",2014,31,29,,18,,9,,1,,1,,,-,3,,"Allentown, PA
",
"Buffalo, NY",2014,31,90,,53,,26,,11,,,-,,-,10,,"Buffalo, NY
",
"Camden, NJ",2014,31,21,,13,,5,,2,,1,,,-,,-,"Camden, NJ
",
"Elizabeth, NJ",2014,31,17,,10,,4,,3,,,-,,-,2,,"Elizabeth, NJ
",
"Erie, PA",2014,31,43,,38,,3,,1,,1,,,-,2,,"Erie, PA
",
"Jersey City, NJ",2014,31,17,,11,,4,,1,,,-,1,,1,,"Jersey City, NJ
",
"New York City, NY",2014,31,919,,662,,190,,46,,17,,4,,27,,"New York City, NY
",
"Newark, NJ",2014,31,42,,23,,11,,6,,1,,1,,2,,"Newark, NJ
",
"Paterson, NJ",2014,31,15,,9,,6,,,-,,-,,-,1,,"Paterson, NJ
",
"Philadelphia, PA",2014,31,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
",
"Pittsburgh, PA§",2014,31,40,,26,,13,,,-,1,,,-,1,,"Pittsburgh, PA
",
"Reading, PA",2014,31,35,,26,,8,,1,,,-,,-,2,,"Reading, PA
",
"Rochester, NY",2014,31,143,,108,,30,,2,,1,,2,,5,,"Rochester, NY
",
"Schenectady, NY",2014,31,19,,15,,4,,,-,,-,,-,,-,"Schenectady, NY
",
"Scranton, PA",2014,31,34,,18,,10,,4,,1,,1,,3,,"Scranton, PA
",
"Syracuse, NY",2014,31,76,,56,,15,,5,,,-,,-,6,,"Syracuse, NY
",
"Trenton, NJ",2014,31,35,,19,,14,,1,,1,,,-,,-,"Trenton, NJ
",
"Utica, NY",2014,31,17,,14,,2,,1,,,-,,-,2,,"Utica, NY
",
"Yonkers, NY",2014,31,21,,17,,4,,,-,,-,,-,,-,"Yonkers, NY
",
E.N. Central,2014,31,1782,,1157,,441,,108,,37,,39,,113,,,
"Akron, OH",2014,31,54,,30,,13,,7,,2,,2,,1,,"Akron, OH
",
"Canton, OH",2014,31,31,,21,,7,,1,,,-,2,,1,,"Canton, OH
",
"Chicago, IL",2014,31,249,,158,,61,,19,,8,,3,,10,,"Chicago, IL
",
